Usuario,Projeto,Bug,Merge,DiaDaSemana,TamanhoDescricao
13,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,False,Wednesday,13
13,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,True,False,Wednesday,406
4,2,True,False,Wednesday,195
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,183
4,2,False,False,Wednesday,19
4,2,False,False,Wednesday,43
4,2,False,False,Wednesday,0
13,2,False,False,Wednesday,107
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
13,2,False,False,Wednesday,31
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,31
4,2,False,False,Wednesday,44
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,False,Wednesday,31
12,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,35
12,2,True,True,Wednesday,0
4,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
4,2,False,False,Wednesday,80
12,2,False,False,Wednesday,44
13,2,False,False,Wednesday,0
12,2,True,False,Wednesday,0
13,2,False,False,Wednesday,103
12,2,True,False,Wednesday,12
4,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,False,False,Wednesday,27
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,27
13,2,False,False,Wednesday,44
13,2,False,False,Wednesday,166
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,85
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,101
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,7
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
12,2,True,False,Wednesday,0
13,2,False,False,Wednesday,44
13,2,False,False,Wednesday,0
6,2,True,False,Wednesday,0
12,2,False,False,Wednesday,44
4,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
4,2,False,False,Wednesday,106
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,91
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,True,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
6,2,True,False,Wednesday,0
13,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
6,2,False,False,Wednesday,113
6,2,False,True,Wednesday,0
13,2,False,False,Wednesday,114
6,2,True,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,209
6,2,False,True,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,1
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,16
6,2,False,False,Wednesday,218
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,66
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
6,2,False,False,Wednesday,0
6,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
6,2,False,False,Wednesday,0
12,2,False,False,Wednesday,80
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,100
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,17
13,2,True,False,Wednesday,125
4,2,False,False,Wednesday,172
13,2,True,False,Wednesday,54
6,2,False,False,Wednesday,0
13,2,True,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
